,artist,album,track_name,track_id,release_date,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1197,DizzyEight,I'm Not Okay,I'm Not Okay,4Qxyln6HxD6GSpekAytGIn,2017,False,30,0.583,0.558,A,-10.892,Minor,0.148,3.44e-06,0.471,0.402,146.062,2.83085,4
1198,Toni Romiti,Switch Up,Switch Up,25gBSdeZ7qMplP2XsoXO1r,2016,True,64,0.804,0.425,A,-10.384,Minor,0.153,0.0,0.0964,0.494,125.931,4.334133333333333,4
1199,Masetti,Alleviation,Coping Mechanism,0zKHCyYAJ7kGgleBNnCR35,2020,True,30,0.403,0.376,D,-16.516,Major,0.312,2.17e-06,0.717,0.373,88.009,4.167533333333333,4
1200,Sik World,Still Lost 2,Several Years,3h61cE8gotedqwGGVW7CTl,2021,True,52,0.918,0.412,D,-8.936,Major,0.0995,7.99e-06,0.115,0.339,124.04,3.0968833333333334,4
1201,Lost Wave,I Just Wanna Die,I Just Wanna Die,0RhgnZdqRFlgyYeJ4edDsT,2018,True,19,0.583,0.742,C#/Db,-4.955,Minor,0.0558,0.0,0.0845,0.17,160.042,3.04135,4
1202,TBeatz,"Oh No, oh no no no no no (Tik Tok Remix)","Oh No, oh no no no no no (Tik Tok Remix)",7gu2GC6opE6E2qxPB12uUx,2021,False,50,0.679,0.548,G#/Ab,-6.079,Major,0.0255,0.714,0.367,0.387,88.016,2.8073,4
1203,Dream SMP Musical,My L'manburg,Wilbur's Symphony,44EzpbOK1GEI1XWfj2BOQm,2021,False,31,0.55,0.193,C#/Db,-14.802,Major,0.0677,0.000309,0.115,0.15,155.234,3.4451666666666667,3
1204,Derivakat,Songs of the SMP,Welcome Home,59s3vdfb5VbTwRI8STauz4,2021,False,55,0.523,0.586,D,-6.875,Minor,0.0315,0.0,0.0902,0.232,88.067,3.7083333333333335,4
1205,Presence,Story of a Heartbroken Girl,Story of a Heartbroken Girl,5waFc0TrKGRaOwgUoJqbSN,2020,False,36,0.601,0.683,C#/Db,-7.611,Major,0.361,0.000937,0.115,0.34,178.129,3.2457333333333334,4
1206,Bars and Melody,Put Ü First,Put Ü First,5xWC7SzVC7CkXefu9xN0zI,2018,False,40,0.579,0.915,C,-4.486,Minor,0.145,0.0,0.161,0.621,154.847,3.5612833333333334,4
1207,SoLonely,Need You,Need You,7E25GURfD8IjaArQIDFtBO,2019,True,34,0.712,0.73,A,-4.41,Minor,0.0314,0.0,0.229,0.484,123.963,3.1653333333333333,4
1208,blackbear,ANONYMOUS,DEAD TO ME,4C8yVZNQ6DWv2IA9dm4yeY,2019,False,54,0.709,0.725,G,-5.545,Minor,0.0759,0.0,0.158,0.226,139.968,3.0096,4
1209,Alejandro Lema,Freak Show,Freak Show,0XgIFrEXrFrYY43OhU6j2G,2021,True,54,0.744,0.59,G#/Ab,-8.004,Minor,0.0723,0.0,0.0705,0.398,125.038,3.9693,4
1210,Jay-Way,"No, I'm Not Ok (Remixes)","No, I'm Not Ok",3K4giBVqqVC34S14RsjFYG,2020,False,46,0.683,0.848,C#/Db,-4.199,Major,0.0553,0.0,0.113,0.651,89.504,1.8358666666666668,4
1211,Madd Maxxx,In the Absence of Sanity,Fuck Life,5vuar586TjyHWhRbh8QIiF,2005,True,21,0.793,0.421,A#/Bb,-15.696,Minor,0.231,0.0,0.0721,0.63,98.038,3.9854166666666666,4
1212,Gabriella Whited,I keep on falling,I keep on falling,0OcZUN11NUGT3t5NfXwfaL,2018,False,47,0.797,0.257,C,-11.402,Major,0.0716,0.0,0.128,0.44,129.99,3.4488833333333333,4
1213,NEFFEX,Pull Me Apart,Pull Me Apart,4ikkwzYtRNfzK8poIM3PfV,2019,False,48,0.628,0.538,F,-6.965,Minor,0.0357,5.6e-06,0.0907,0.58,139.989,2.4285666666666668,4
1214,Jake Hope,In My Head,In My Head,6rHnjG44nVbN990fXNqm60,2018,True,37,0.762,0.409,C#/Db,-13.076,Major,0.103,0.0,0.107,0.525,133.963,3.4412833333333332,4
